constraint,method,seed,hidden_dim,hidden_layers,parameter_count,l2_relative_error,pde_residual_rmse,max_constraint_violation,final_pde_loss,final_ic_loss,final_bc_loss,runtime_sec,completed_epochs,peak_gpu_mem_mb,inference_time_ms
linear,soft,0,64,3,8642,0.0016026351368054748,0.00013705594756174833,0.0010187029838562012,2.1031262065207557e-08,1.483748519603978e-06,3.7438321669469588e-06,1800.0005605220795,376764,36.21923828125,0.11489950120449066
linear,hardnet,0,64,3,8642,0.0010987028945237398,0.000501707021612674,2.384185791015625e-07,2.546351538512681e-07,3.5059946412729914e-07,1.4303025182016427e-06,1800.0076475143433,128016,36.25,0.38481149822473526
circle,soft,0,64,3,8642,0.0018170165130868554,0.0003319319221191108,0.003701508045196533,1.1516064546412963e-07,1.3551134543376975e-06,3.035904910575482e-06,1800.001011133194,375088,36.22705078125,0.11150632053613663
circle,hardnetpp,0,64,3,8642,1.4029057025909424,0.004464694298803806,1.1920928955078125e-07,1.4317280147224665e-05,0.06106780096888542,0.03255877643823624,1800.0545053482056,24258,42.57958984375,9.528114087879658
