t,l2_relative_error,l2_u,l2_v,fluctuation_l2_relative_error,max_abs_error
0.0,0.12452518194913864,0.10455295443534851,0.18146628141403198,0.7637062668800354,0.1603706181049347
0.05,0.11467237770557404,0.09673268347978592,0.1663774996995926,0.7524144649505615,0.14328449964523315
0.1,0.10651177167892456,0.09033016860485077,0.1536591798067093,0.7444294691085815,0.1301746368408203
0.15000000000000002,0.09962527453899384,0.08498553186655045,0.1427493393421173,0.7391797304153442,0.11915066838264465
0.2,0.10481327027082443,0.08807902783155441,0.15334412455558777,0.8233351707458496,0.11733245849609375
0.25,0.09902459383010864,0.0835437923669815,0.1442561000585556,0.8217225670814514,0.11166620254516602
0.30000000000000004,0.0938320979475975,0.0794089064002037,0.13623195886611938,0.8210319876670837,0.10412037372589111
0.35000000000000003,0.08912179619073868,0.07559273391962051,0.12908490002155304,0.8210126757621765,0.09763336181640625
0.4,0.09003282338380814,0.07452704012393951,0.13457955420017242,0.8720749020576477,0.09214469790458679
0.45,0.08564073592424393,0.07095362991094589,0.12794415652751923,0.8712242841720581,0.08692607283592224
0.5,0.08160308748483658,0.06764177978038788,0.12189462780952454,0.8710190057754517,0.08250027894973755
0.55,0.07787247002124786,0.06456150114536285,0.11634277552366257,0.8713751435279846,0.07837152481079102
0.6000000000000001,0.08439938724040985,0.06713386625051498,0.1320877969264984,0.9893143177032471,0.0791698694229126
0.65,0.08066648989915848,0.0640779361128807,0.12646369636058807,0.9898603558540344,0.07571655511856079
0.7000000000000001,0.07719813287258148,0.06122390553355217,0.12126244604587555,0.991100549697876,0.07228636741638184
0.75,0.07397256791591644,0.058553002774715424,0.11645408719778061,0.9930797815322876,0.06923094391822815
0.8,0.07167724519968033,0.056326862424612045,0.11367934942245483,1.0057586431503296,0.06620314717292786
0.8500000000000001,0.06869304925203323,0.05394037067890167,0.10905375331640244,1.0070284605026245,0.06335142254829407
0.9,0.06586503982543945,0.051672112196683884,0.10468022525310516,1.0084079504013062,0.06066080927848816
0.9500000000000001,0.06318008899688721,0.04951465129852295,0.10053294152021408,1.009871244430542,0.05810344219207764
1.0,0.060627590864896774,0.04746090993285179,0.09659306704998016,1.0114092826843262,0.05580577254295349
