slab,epoch,total_epoch,training_elapsed_sec,total_loss,pde_loss,ic_loss,bc_loss,bc_gradient_loss
0,1,1,0.16771791502833366,0.6278643012046814,0.49164751172065735,0.11821815371513367,0.01737063191831112,0.0006279864464886487
0,100,100,3.2478041276335716,0.0045584640465676785,0.0001419622276443988,0.0042359051294624805,4.8209993110504e-05,0.00013238639803603292
0,200,200,6.235864222049713,0.004336939193308353,6.0336547903716564e-05,0.004226835444569588,3.0275592507678084e-05,1.949181387317367e-05
0,300,300,9.196534369140863,0.0042907786555588245,3.070372622460127e-05,0.0042281439527869225,2.092313297907822e-05,1.1007728971890174e-05
0,400,400,12.170564197003841,0.004269974306225777,1.6590707673458382e-05,0.004228657577186823,1.454811263101874e-05,1.0178127013205085e-05
0,500,500,15.128651291131973,0.004258512519299984,1.0882071364903823e-05,0.004226675722748041,1.2894362043880392e-05,8.060473192017525e-06
0,600,600,18.111839398741722,0.004253127612173557,6.959765414649155e-06,0.004225885029882193,1.2066367162333336e-05,8.216754395107273e-06
0,700,700,21.089857768267393,0.004250840283930302,5.1112047003698535e-06,0.004224427044391632,1.2092939869035035e-05,9.209423296852037e-06
0,800,800,24.362962771207094,0.004248355980962515,4.22646917286329e-06,0.004223243333399296,1.18874177132966e-05,8.999079000204802e-06
0,900,900,27.784772146493196,0.004247487522661686,4.453691417438677e-06,0.004221748560667038,1.1614187314989977e-05,9.67154119280167e-06
0,1000,1000,31.220882635563612,0.004316953010857105,7.329561049118638e-05,0.004225768148899078,8.22027686808724e-06,9.668840903032105e-06
0,1100,1100,34.64894776791334,0.0042436313815414906,3.226632543373853e-06,0.0042198654264211655,1.1693862688844092e-05,8.845876436680555e-06
0,1200,1200,38.071773145347834,0.0042427615262568,3.3799490211094962e-06,0.004218701273202896,1.189986323879566e-05,8.780458301771432e-06
0,1300,1300,41.490991834551096,0.0042421831749379635,3.1211698114930186e-06,0.0042187669314444065,1.144628731708508e-05,8.848372999636922e-06
0,1400,1400,44.90614974871278,0.004247646778821945,1.0051184290205128e-05,0.004215357359498739,1.220438389282208e-05,1.0033691069111228e-05
0,1500,1500,48.31016245484352,0.004240124020725489,3.229541789551149e-06,0.004215789958834648,1.0966012268909253e-05,1.0138848665519617e-05
0,1600,1600,51.28466062620282,0.0042405626736581326,5.509781658474822e-06,0.004214998800307512,1.0297708286088891e-05,9.756623512657825e-06
0,1700,1700,54.24956527724862,0.004248154815286398,1.4286209989222698e-05,0.004211838357150555,1.203093688673107e-05,9.999741450883448e-06
0,1800,1800,57.21562287211418,0.004239954985678196,6.620403837587219e-06,0.004210435785353184,1.1275407814537175e-05,1.1623173122643493e-05
0,1900,1900,60.19625375792384,0.004235212691128254,3.718068455782486e-06,0.004209080711007118,1.120550496125361e-05,1.1208270734641701e-05
0,2000,2000,63.188655994832516,0.004233428742736578,4.056786565342918e-06,0.004207721911370754,1.056909513863502e-05,1.1080945114372298e-05
0,2100,2100,66.17623655125499,0.004233199637383223,4.882563644059701e-06,0.004205869510769844,9.920073352986947e-06,1.2527754734037444e-05
0,2200,2200,69.16626553609967,0.004230537451803684,3.757312697416637e-06,0.004204996861517429,9.567222150508314e-06,1.2216084542160388e-05
0,2300,2300,72.14450130239129,0.004228556994348764,4.096994416613597e-06,0.004202298820018768,9.526318535790779e-06,1.2634605809580535e-05
0,2400,2400,75.11645383760333,0.00422889506444335,5.3645453590434045e-06,0.004200090654194355,8.747486390348058e-06,1.4692590411868878e-05
0,2500,2500,78.08020375296474,0.004226073157042265,5.0393132369208615e-06,0.004196845926344395,9.419134585186839e-06,1.4768977052881382e-05
0,2600,2600,81.07794193923473,0.004223989322781563,5.759853593190201e-06,0.004194851964712143,8.18441367300693e-06,1.5193081708275713e-05
0,2700,2700,84.0619661398232,0.004225458949804306,9.567320375936106e-06,0.004190431907773018,8.969654118118342e-06,1.6489902918692678e-05
0,2800,2800,87.00404889881611,0.0042153880931437016,4.721408913610503e-06,0.004185852594673634,8.418569450441282e-06,1.6395555576309562e-05
