t,l2_relative_error,l2_u,l2_v,fluctuation_l2_relative_error,max_abs_error
0.0,0.0272859875112772,0.02336365543305874,0.03874388709664345,0.16734348237514496,0.0562528520822525
0.05,0.024085555225610733,0.021096356213092804,0.033130183815956116,0.15803562104701996,0.04259762167930603
0.1,0.0221103522926569,0.01975627802312374,0.029468879103660583,0.15453313291072845,0.044171035289764404
0.15000000000000002,0.020791959017515182,0.01883285492658615,0.027065223082900047,0.1542680263519287,0.041349709033966064
0.2,0.01983274333178997,0.018096646293997765,0.02547391504049301,0.1557912975549698,0.03425675630569458
0.25,0.019092850387096405,0.017466990277171135,0.024412402883172035,0.1584356427192688,0.02898085117340088
0.30000000000000004,0.018513862043619156,0.016928141936659813,0.023710079491138458,0.1619965136051178,0.025148391723632812
0.35000000000000003,0.018072132021188736,0.016484050080180168,0.02326689474284649,0.16648507118225098,0.02319282293319702
0.4,0.01775393635034561,0.01613788492977619,0.023021221160888672,0.1719679832458496,0.02097541093826294
0.45,0.017545552924275398,0.01588526926934719,0.022932514548301697,0.17849114537239075,0.020373284816741943
0.5,0.017431024461984634,0.015713758766651154,0.022974256426095963,0.18605612218379974,0.01956191658973694
0.55,0.017392661422491074,0.015605106949806213,0.02312907949090004,0.19461990892887115,0.01841452717781067
0.6000000000000001,0.017412059009075165,0.015538935549557209,0.02338230609893799,0.20410101115703583,0.018104493618011475
0.65,0.017471477389335632,0.015496762469410896,0.023716101422905922,0.21439291536808014,0.017578065395355225
0.7000000000000001,0.01755574531853199,0.015465768054127693,0.024107027798891068,0.22538769245147705,0.016657918691635132
0.75,0.017654122784733772,0.01544123888015747,0.02452734485268593,0.23700612783432007,0.015994757413864136
0.8,0.017761074006557465,0.01542655099183321,0.024948667734861374,0.24921929836273193,0.015373408794403076
0.8500000000000001,0.017875218763947487,0.015430332161486149,0.025345895439386368,0.2620476484298706,0.014920055866241455
0.9,0.017997635528445244,0.015462536364793777,0.025700537487864494,0.27554768323898315,0.014448374509811401
0.9500000000000001,0.018131200224161148,0.015532347373664379,0.02600257098674774,0.28980931639671326,0.014083147048950195
1.0,0.018282536417245865,0.01565035991370678,0.026251208037137985,0.30499523878097534,0.01366528868675232
