slab,epoch,total_epoch,training_elapsed_sec,total_loss,pde_loss,ic_loss,bc_loss,bc_gradient_loss
0,1,1,0.1805235855281353,0.15611150860786438,0.019894743338227272,0.11821815371513367,0.01737063191831112,0.0006279863882809877
0,100,100,3.5260369405150414,0.0043322136625647545,1.0850428225239739e-05,0.004243472125381231,1.8519063814892434e-05,5.9372265241108835e-05
0,200,200,6.833745054900646,0.004273918457329273,5.487108865054324e-06,0.0042409999296069145,1.4172263945511077e-05,1.3259392289910465e-05
0,300,300,9.815552473068237,0.004259173758327961,4.167362021689769e-06,0.004236582666635513,1.3247142305772286e-05,5.176869308343157e-06
0,400,400,12.808339729905128,0.00425279326736927,4.108143912162632e-06,0.004230920225381851,1.302454256801866e-05,4.7404446377186105e-06
0,500,500,15.807964358478785,0.004246905911713839,4.514788543019677e-06,0.004224537871778011,1.289415104110958e-05,4.9594191295909695e-06
0,600,600,18.808934330940247,0.0042434693314135075,5.289210093906149e-06,0.00422049593180418,1.1907831321877893e-05,5.7765964811551385e-06
0,700,700,21.805411845445633,0.004242657218128443,6.68099892209284e-06,0.004215095657855272,1.4639457731391303e-05,6.241139089979697e-06
0,800,800,24.797996558248997,0.004239687696099281,8.05121635494288e-06,0.004210745450109243,1.4149556591291912e-05,6.741201559634646e-06
0,900,900,27.788164760917425,0.004237698391079903,9.800887710298412e-06,0.0042058443650603294,1.511215577920666e-05,6.9411589720402844e-06
0,1000,1000,30.78402092680335,0.004235733300447464,1.0435269359732047e-05,0.004202289041131735,1.6142355889314786e-05,6.866455805720761e-06
0,1100,1100,33.782022692263126,0.004234118852764368,1.2402513675624505e-05,0.004200113471597433,1.5018692465673666e-05,6.584251423191745e-06
0,1200,1200,36.77029511705041,0.004232699517160654,1.1329379049129784e-05,0.004197767004370689,1.6594542103121057e-05,7.008408829278778e-06
0,1300,1300,39.77213431894779,0.00423094630241394,1.2705035260296427e-05,0.004193614237010479,1.6660545952618122e-05,7.96646509115817e-06
0,1400,1400,42.769336964935064,0.004225826356559992,1.2842652722611092e-05,0.00418923469260335,1.3609256711788476e-05,1.0139990990865044e-05
0,1500,1500,46.385256465524435,0.004224867559969425,1.3631890396936797e-05,0.0041879345662891865,1.3860168110113591e-05,9.44137354963459e-06
0,1600,1600,49.43620980530977,0.004214102867990732,1.3618066077469848e-05,0.004172610118985176,1.4391880540642887e-05,1.3482705981004983e-05
0,1700,1700,52.42587723582983,0.00422314926981926,1.0748588465503417e-05,0.004187293350696564,1.6992893506539986e-05,8.114810043480247e-06
0,1800,1800,55.4180832952261,0.004214652813971043,1.407817308063386e-05,0.004167506936937571,1.9315049939905293e-05,1.375232659484027e-05
0,1900,1900,58.40601823478937,0.004220621660351753,1.4817657756793778e-05,0.0041657704859972,2.789923564705532e-05,1.2134064490965102e-05
