t,l2_relative_error,l2_u,l2_v,fluctuation_l2_relative_error,max_abs_error
0.0,0.04431227594614029,0.03471101075410843,0.06966336816549301,0.2717648148536682,0.08672641217708588
0.05,0.0382823646068573,0.030154475942254066,0.0599740594625473,0.25118696689605713,0.07084409892559052
0.1,0.03415551781654358,0.027239134535193443,0.052932605147361755,0.2387188971042633,0.05804675817489624
0.15000000000000002,0.03128810599446297,0.0253940187394619,0.04765496030449867,0.2321452498435974,0.05406796932220459
0.2,0.03647346794605255,0.03000122681260109,0.05477428808808327,0.2865084707736969,0.05516308546066284
0.25,0.03340575471520424,0.02758367732167244,0.04998435080051422,0.27720651030540466,0.04808971285820007
0.30000000000000004,0.030966855585575104,0.025706801563501358,0.04607309773564339,0.27096036076545715,0.041955798864364624
0.35000000000000003,0.028968552127480507,0.024192970246076584,0.04280933365225792,0.26686567068099976,0.037645623087882996
0.4,0.03788340464234352,0.033901397138834,0.05055741220712662,0.3669458031654358,0.04683928191661835
0.45,0.03664500638842583,0.03321404755115509,0.0477961041033268,0.37279012799263,0.04239800572395325
0.5,0.03573751822113991,0.032781247049570084,0.04554392024874687,0.3814568519592285,0.0388035774230957
0.55,0.03504457697272301,0.03248488903045654,0.04369562864303589,0.39214080572128296,0.03580157458782196
0.6000000000000001,0.04079154133796692,0.036411602050065994,0.05475647747516632,0.4781510829925537,0.04522283375263214
0.65,0.03952709212899208,0.03545640781521797,0.05261438712477684,0.48503783345222473,0.04218806326389313
0.7000000000000001,0.038382381200790405,0.0345957912504673,0.050656676292419434,0.49276837706565857,0.0399741530418396
0.75,0.037307146936655045,0.033784348517656326,0.04881856217980385,0.5008474588394165,0.03776125609874725
0.8,0.05412738025188446,0.040139105170965195,0.09030187129974365,0.7595029473304749,0.04957719147205353
0.8500000000000001,0.05503397434949875,0.04058036953210831,0.0922427847981453,0.8067886829376221,0.05028775334358215
0.9,0.05594099685549736,0.041045378893613815,0.09413901716470718,0.8564687967300415,0.05012831091880798
0.9500000000000001,0.056842394173145294,0.04153311252593994,0.09597571194171906,0.9085694551467896,0.048892855644226074
1.0,0.05773433297872543,0.04204845800995827,0.09773443639278412,0.963142991065979,0.04761594533920288
