config_name,constraint_mode,seed,l2_relative_error,final_pde_loss,final_ic_loss,final_bc_loss,runtime_sec,completed_epochs,completed_lbfgs_steps
soft,soft,0,0.04314642772078514,1.4468428162217606e-05,1.2921689176437212e-06,1.498731194260472e-06,6815.156277418137,1000000,0
hard_icbc_lbfgs,hard-icbc,0,0.04299398139119148,2.5780973373912275e-05,0.0,2.577590503438274e-15,3605.938017845154,387664,211
bounded_hard_icbc_lbfgs,bounded-hard-icbc,0,0.17612683773040771,2.6521427631378174,0.0,2.559881797368265e-15,4762.485664606094,367385,36329
