t,l2_relative_error,l2_u,l2_v,fluctuation_l2_relative_error,max_abs_error
0.0,0.02567688375711441,0.019007813185453415,0.04235776886343956,0.15747493505477905,0.07037599384784698
0.05,0.0211765319108963,0.015556504018604755,0.0352059006690979,0.13894827663898468,0.05556763708591461
0.1,0.018354633823037148,0.01337369903922081,0.03074895218014717,0.12828375399112701,0.04635997116565704
0.15000000000000002,0.016513200476765633,0.011847845278680325,0.028007052838802338,0.12252134829759598,0.03926330804824829
0.2,0.015261980704963207,0.010679931379854679,0.026349414139986038,0.11988677829504013,0.032941773533821106
0.25,0.014387027360498905,0.009733268059790134,0.025377579033374786,0.11938594281673431,0.029288694262504578
0.30000000000000004,0.01377071812748909,0.008950447663664818,0.024843484163284302,0.12049394845962524,0.02595292031764984
0.35000000000000003,0.0133466562256217,0.008309801109135151,0.02459639310836792,0.12295279651880264,0.023083269596099854
0.4,0.013074743561446667,0.007801835425198078,0.024548092857003212,0.12664443254470825,0.021120890974998474
0.45,0.012928232550621033,0.007417731452733278,0.02464946173131466,0.13151907920837402,0.019228190183639526
0.5,0.012887535616755486,0.0071447319351136684,0.024875277653336525,0.13755959272384644,0.01759408414363861
0.55,0.012936828657984734,0.0069643473252654076,0.025214359164237976,0.1447601616382599,0.016437098383903503
0.6000000000000001,0.013061773031949997,0.006852330639958382,0.02566232718527317,0.15310774743556976,0.015293240547180176
0.65,0.013247852213680744,0.006780980154871941,0.026214756071567535,0.1625646948814392,0.014311030507087708
0.7000000000000001,0.013480092398822308,0.006724398583173752,0.026861481368541718,0.17306281626224518,0.014310866594314575
0.75,0.013744146563112736,0.006665074732154608,0.02758355252444744,0.18451480567455292,0.01563161611557007
0.8,0.014027721248567104,0.006598356645554304,0.02835381031036377,0.1968337446451187,0.016867443919181824
0.8500000000000001,0.014320261776447296,0.006531935650855303,0.02913857251405716,0.2099325954914093,0.01780615746974945
0.9,0.0146108940243721,0.006480372045189142,0.02989913895726204,0.22369594871997833,0.018355801701545715
0.9500000000000001,0.01488595549017191,0.006457312498241663,0.030592823401093483,0.23793728649616241,0.01850895583629608
1.0,0.01512802205979824,0.0064694844186306,0.03117459826171398,0.25237059593200684,0.018118366599082947
