t,l2_relative_error,l2_u,l2_v,fluctuation_l2_relative_error,max_abs_error
0.0,0.11049961298704147,0.089426189661026,0.1680915504693985,0.6776881814002991,0.1473829448223114
0.05,0.10101833939552307,0.08205300569534302,0.15332402288913727,0.6628245115280151,0.13052836060523987
0.1,0.09323342889547348,0.07613951712846756,0.14086225628852844,0.6516247987747192,0.11692234873771667
0.15000000000000002,0.08662005513906479,0.07123056799173355,0.12999160587787628,0.6426861882209778,0.1121019721031189
0.2,0.09313569962978363,0.07757876068353653,0.1377762407064438,0.731604814529419,0.10971611738204956
0.25,0.08735208213329315,0.07300753891468048,0.12878791987895966,0.7248620986938477,0.10002553462982178
0.30000000000000004,0.08226575702428818,0.06898190081119537,0.12087688595056534,0.719826340675354,0.08903616666793823
0.35000000000000003,0.07774145901203156,0.06540440768003464,0.11381722241640091,0.7161740660667419,0.08009278774261475
0.4,0.07897670567035675,0.06643546372652054,0.11570838838815689,0.7649832963943481,0.0823928713798523
0.45,0.07498469203710556,0.06323841214179993,0.10954979062080383,0.762820303440094,0.07793843746185303
0.5,0.07136032730340958,0.060299500823020935,0.10403244197368622,0.7616893649101257,0.07410752773284912
0.55,0.06803897768259048,0.05756225064396858,0.09907054156064987,0.7613406181335449,0.07028675079345703
0.6000000000000001,0.06735748797655106,0.05763162672519684,0.0966121256351471,0.7895523309707642,0.07399284839630127
0.65,0.06441440433263779,0.05526789277791977,0.09205397218465805,0.7904306054115295,0.07177406549453735
0.7000000000000001,0.06170541048049927,0.05307763069868088,0.08788738399744034,0.7921987771987915,0.0686623752117157
0.75,0.059181805700063705,0.051016032695770264,0.08405207842588425,0.7945141792297363,0.06604176759719849
0.8,0.06605348736047745,0.05363446846604347,0.10125460475683212,0.9268472790718079,0.06313201785087585
0.8500000000000001,0.06324954330921173,0.0513148233294487,0.09706848114728928,0.9272274971008301,0.060700058937072754
0.9,0.06059899926185608,0.049153268337249756,0.09304346144199371,0.9277837872505188,0.05823919177055359
0.9500000000000001,0.05810092017054558,0.04715074598789215,0.08917499333620071,0.9286857843399048,0.0559733510017395
1.0,0.055753011256456375,0.04530360549688339,0.08546355366706848,0.9300899505615234,0.053867071866989136
