case,l2_relative_error,l2_u,l2_v,fluctuation_l2_relative_error,initial_time_l2_relative_error,final_time_l2_relative_error,max_abs_error,pde_rmse,bc_rmse,bc_gradient_rmse,ic_rmse,max_interface_rmse,inference_time_ms,inference_points,status,mode,seed,hidden_widths,parameter_count_per_model,stored_parameter_count,model_count,training_sec,completed_epochs,runtime_budget_sec,edges,first_window_fraction,window_budgets_sec,peak_gpu_mem_mb,wall_sec
C,0.07689134776592255,0.06380064785480499,0.11459033191204071,0.7362118363380432,0.11049961298704147,0.055753011256456375,0.1473829448223114,0.0075929924487696835,0.008490841835737228,0.007768119685351849,0.04628033936023712,0.007881467230618,2.6539670303463936,2304,complete,marching,0,"128,128,128,128,128",66818,334090,5,600.0566916242242,20428,600.0,"[0.0, 0.2, 0.4, 0.6000000000000001, 0.8, 1.0]",,"[120.0, 120.0, 120.0, 120.0, 120.0]",97.115234375,603.3558379523456
E,0.041855014860630035,0.033895257860422134,0.06414914131164551,0.4007493555545807,0.04431227594614029,0.05773433297872543,0.08672641217708588,0.005809990845688371,0.009086931124329567,0.014325289987027645,0.018237510696053505,0.01245830487459898,2.551080659031868,2304,complete,marching,0,"128,128,128,128,128",66818,334090,5,600.082420527935,20116,600.0,"[0.0, 0.2, 0.4, 0.6000000000000001, 0.8, 1.0]",0.5,"[300.0, 75.0, 75.0, 75.0, 75.0]",97.115234375,603.2890569008887
