case,l2_relative_error,l2_u,l2_v,fluctuation_l2_relative_error,final_time_l2_relative_error,max_abs_error,pde_rmse,bc_rmse,bc_gradient_rmse,ic_rmse,max_interface_rmse,inference_time_ms,inference_points,status,mode,seed,hidden_widths,parameter_count_per_model,stored_parameter_count,model_count,training_sec,completed_epochs,runtime_budget_sec,edges,peak_gpu_mem_mb,wall_sec
A,0.015417558141052723,0.009503655135631561,0.028554590418934822,0.14761854708194733,0.01512802205979824,0.07037599384784698,0.0071712123464661185,0.0052758739329874516,0.010138984769582748,0.010720123536884785,0.0,1.192052848637104,2304,complete,global,0,"128,128,128,128,128",66818,66818,1,600.0144586339593,18736,600.0,"[0.0, 1.0]",95.072265625,603.1708101592958
B,0.01923046074807644,0.017039481550455093,0.026101313531398773,0.18412594497203827,0.018282536417245865,0.0562528520822525,0.007874010130875632,0.0063041155226528645,0.00991949625313282,0.011281869374215603,0.0,0.8247852325439453,2304,complete,global,0,"256,128,64,128,256",84034,84034,1,600.0122336409986,19703,600.0,"[0.0, 1.0]",117.43115234375,603.1299434676766
C,0.0807296633720398,0.06506937742233276,0.12436392903327942,0.7729625701904297,0.0603003054857254,0.15617096424102783,0.007724071901605719,0.009479706175625324,0.007922776974737644,0.047441884875297546,0.008756029419600964,2.543678879737854,2304,complete,marching,0,"128,128,128,128,128",66818,334090,5,600.0640847086906,20314,600.0,"[0.0, 0.2, 0.4, 0.6000000000000001, 0.8, 1.0]",97.115234375,603.3177420347929
D,0.0880945697426796,0.07277163863182068,0.13199207186698914,0.843479335308075,0.060627590864896774,0.1603706181049347,0.005487104242343879,0.008439035154879093,0.006007569842040539,0.052573371678590775,0.007849288173019886,2.4701859802007675,2304,complete,marching,0,"256,128,64,128,256",84034,420170,5,600.0815537497401,19966,600.0,"[0.0, 0.2, 0.4, 0.6000000000000001, 0.8, 1.0]",120.00146484375,603.360861748457
