config_name,constraint_mode,seed,l2_relative_error,final_total_loss,final_pde_loss,final_ic_loss,final_bc_loss,runtime_sec,completed_epochs,completed_lbfgs_steps,lr
hard_icbc_adam,hard-icbc,0,0.04331720247864723,4.7130950406426564e-05,4.7130950406426564e-05,0.0,2.534733389164285e-15,7200.004927873611,758209,0,0.001
hard_icbc_lbfgs,hard-icbc,0,0.0429043211042881,9.395083907293156e-06,9.395083907293156e-06,0.0,2.5055276931429567e-15,3603.4670231342316,381653,119,0.001
hard_icbc_lower_lr,hard-icbc,0,0.04294770956039429,3.1691040476289345e-06,3.1691040476289345e-06,0.0,2.473336205982557e-15,7200.008078098297,756519,0,0.0005
