method,seed,constraint_mode,l2_relative_error,final_total_loss,final_pde_loss,final_ic_loss,final_bc_loss,runtime_sec,completed_epochs,completed_lbfgs_steps
soft,0,soft,0.04314642772078514,1.725932816043496e-05,1.4468428162217606e-05,1.2921689176437212e-06,1.498731194260472e-06,6831.846167087555,1000000,0
hard-icbc,0,hard-icbc,0.04276392608880997,6.784413562854752e-05,6.784413562854752e-05,0.0,2.587685230345414e-15,7200.004984140396,765951,0
