method,seed,l2_relative_error,max_constraint_violation,runtime_sec,completed_epochs
soft,0,0.004449583124369383,0.002395838499069214,1469.1442294120789,1000000
hardnet,0,0.004142971709370613,1.1920928955078125e-07,1920.7303485870361,1000000
soft,1,0.0009612992871552706,0.00019384454935789108,1417.5312554836273,1000000
hardnet,1,0.0009249194408766925,1.1920928955078125e-07,1915.834041595459,1000000
soft,2,0.002848300151526928,0.00010513514280319214,1909.1503059864044,1000000
hardnet,2,0.007976866327226162,1.1920928955078125e-07,1920.023877620697,1000000
