study,config_name,constraint_mode,seed,hidden_dim,hidden_layers,parameter_count,n_interior,n_initial,n_boundary,l2_relative_error,final_pde_loss,final_ic_loss,final_bc_loss,runtime_sec,completed_epochs,peak_gpu_mem_mb,inference_time_ms,inference_points_per_sec
width,width_32,soft,0,32,5,4353,4096,512,512,0.041532956063747406,0.0006302230758592486,7.126285345293581e-05,4.62136922578793e-05,600.000100851059,88861,42.7421875,0.17874769866466522,57069266.21269295
width,width_64,soft,0,64,5,16897,4096,512,512,0.0714985802769661,0.04433438926935196,0.0038105295971035957,0.00013404579658526927,600.0024347305298,98109,68.044921875,0.18529511988162994,55052718.09919545
width+depth+points,baseline,soft,0,128,5,66561,4096,512,512,0.04389524087309837,9.283872350351885e-05,2.0665975171141326e-05,4.261226422386244e-05,600.004599571228,95843,119.0654296875,0.18103644251823425,56347770.96866859
width,width_256,soft,0,256,5,264193,4096,512,512,0.2622215747833252,0.005806927103549242,0.001535167801193893,0.00018196148448623717,600.0059106349945,94273,222.5810546875,0.3852502256631851,26478894.288613565
depth,depth_3,soft,0,128,3,33537,4096,512,512,0.04733869805932045,0.0006096040597185493,7.330789230763912e-05,0.00017580625717528164,600.0026679039001,136256,81.5234375,0.12313596904277802,82843381.01449564
depth,depth_8,soft,0,128,8,116097,4096,512,512,0.04281475767493248,1.5543013432761654e-05,6.07807123742532e-06,3.7228219298413023e-06,600.0029110908508,68516,175.283203125,0.28844647109508514,35365313.92210128
points,points_1024,soft,0,128,5,66561,1024,128,128,0.06768319755792618,0.0007098341593518853,0.0001665098243393004,6.695031061099144e-06,600.0041573047638,99001,50.9912109375,0.1815798133611679,56179152.35825192
points,points_16384,soft,0,128,5,66561,16384,2048,2048,0.047520961612463,7.810135139152408e-05,2.607222631922923e-05,1.3100635442242492e-05,600.0079967975616,76497,409.958984375,0.18140770494937897,56232451.66376227
