method,seed,l2_relative_error,final_pde_loss,final_bc_loss,runtime_sec,completed_epochs,completed_lbfgs_steps,output_dir
Adam,0,0.007000361666318138,0.0009233681311293859,1.550142799860986e-05,2400.004012107849,180505,0,outputs/poisson_optimizer_comparison_4h/adam/seed_0
Adam->L-BFGS,0,0.0005899648562844441,6.162542284771607e-06,7.509410155657889e-07,1225.9991195201874,78195,934,outputs/poisson_optimizer_comparison_4h/adam_lbfgs/seed_0
Adam,1,0.0017837108018221633,0.00017554740176599777,2.249122029522696e-06,2400.011228084564,158110,0,outputs/poisson_optimizer_comparison_4h/adam/seed_1
Adam->L-BFGS,1,0.0004751284551720883,3.706930277141146e-06,4.44023111475986e-07,1226.841777086258,79260,966,outputs/poisson_optimizer_comparison_4h/adam_lbfgs/seed_1
Adam,2,0.013627918823309784,0.0024483556086932552,3.5916298997285575e-05,2400.0077776908875,158038,0,outputs/poisson_optimizer_comparison_4h/adam/seed_2
Adam->L-BFGS,2,0.0004195673137946881,3.833116262956989e-06,3.7356073156299715e-07,1224.7264115810394,81711,1194,outputs/poisson_optimizer_comparison_4h/adam_lbfgs/seed_2
