t,l2_relative_error,l2_u,l2_v,fluctuation_l2_relative_error,max_abs_error
0.0,0.11281721293926239,0.0913037583231926,0.17161311209201813,0.6919018626213074,0.15617096424102783
0.05,0.10356009006500244,0.08393944799900055,0.1575462818145752,0.679502010345459,0.13846084475517273
0.1,0.09599026292562485,0.07797906547784805,0.14587990939617157,0.6708927750587463,0.12394741177558899
0.15000000000000002,0.08955703675746918,0.07297586649656296,0.1358049511909485,0.6644774079322815,0.11277809739112854
0.2,0.09714412689208984,0.07886703312397003,0.14806464314460754,0.763092041015625,0.11436644196510315
0.25,0.09154097735881805,0.07461628317832947,0.1390274614095688,0.7596222162246704,0.10825377702713013
0.30000000000000004,0.08660054206848145,0.07082387804985046,0.13113181293010712,0.7577558159828186,0.10079652070999146
0.35000000000000003,0.08216382563114166,0.06736171245574951,0.1241445541381836,0.7569140791893005,0.09389686584472656
0.4,0.0836392268538475,0.06771963834762573,0.12823499739170074,0.8101453185081482,0.08645468950271606
0.45,0.07958881556987762,0.06441488862037659,0.12214211374521255,0.8096580505371094,0.08130377531051636
0.5,0.07589758932590485,0.06139087677001953,0.1166081503033638,0.8101193308830261,0.07716983556747437
0.55,0.07250416278839111,0.058600153774023056,0.11153682321310043,0.8113049864768982,0.07314059138298035
0.6000000000000001,0.07126761972904205,0.057522401213645935,0.10983839631080627,0.8353861570358276,0.07236039638519287
0.65,0.06808935105800629,0.05489519238471985,0.10510396957397461,0.8355260491371155,0.06914728879928589
0.7000000000000001,0.06512700766324997,0.05244193598628044,0.10069635510444641,0.8361266255378723,0.06581908464431763
0.75,0.062352199107408524,0.05013244226574898,0.09658783674240112,0.8370766639709473,0.06296372413635254
0.8,0.07115892320871353,0.05578139051795006,0.11312785744667053,0.9984856247901917,0.06526923179626465
0.8500000000000001,0.06822371482849121,0.0533415749669075,0.1087583526968956,1.000148057937622,0.06226456165313721
0.9,0.06544705480337143,0.05101315304636955,0.10466030240058899,1.0020085573196411,0.05952906608581543
0.9500000000000001,0.06281152367591858,0.048792097717523575,0.10078741610050201,1.0039801597595215,0.05744442343711853
1.0,0.0603003054857254,0.04667168855667114,0.09710081666707993,1.0059493780136108,0.05655312538146973
