method,seed,l2_relative_error,final_pde_loss,final_bc_loss,runtime_sec,output_dir
Adam,0,0.11643993109464645,0.01389011275023222,0.018251873552799225,22.56471848487854,outputs\poisson_optimizer_comparison\adam\seed_0
Adam->L-BFGS,0,0.042255088686943054,0.003452690551057458,0.0019297958351671696,33.143404722213745,outputs\poisson_optimizer_comparison\adam_lbfgs\seed_0
Adam,1,0.0912410244345665,0.005243674851953983,0.013704361394047737,21.901437520980835,outputs\poisson_optimizer_comparison\adam\seed_1
Adam->L-BFGS,1,0.024154314771294594,0.0024887053295969963,0.000577029655687511,35.38134789466858,outputs\poisson_optimizer_comparison\adam_lbfgs\seed_1
Adam,2,0.1090552881360054,0.007005325518548489,0.013856688514351845,19.434502363204956,outputs\poisson_optimizer_comparison\adam\seed_2
Adam->L-BFGS,2,0.048670291900634766,0.0017844754038378596,0.003722436260432005,32.1515908241272,outputs\poisson_optimizer_comparison\adam_lbfgs\seed_2
